STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SEX,Sex,AGE,Age,LABOUR_FORCE_STATUS,Labour force status,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,LUX,Luxembourg,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,2008,,53.1769317613495,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,LUX,Luxembourg,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,1990,,59.1601647781098,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,LUX,Luxembourg,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,1989,,59.2785716395066,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,LUX,Luxembourg,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,1988,,58.826849569846,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,LUX,Luxembourg,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,1987,,60.2063608253379,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,LUX,Luxembourg,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,1986,,59.4656099990059,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,LUX,Luxembourg,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,1985,,58.4359090337108,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,LUX,Luxembourg,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,1984,,58.9174957403369,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,LUX,Luxembourg,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,1983,,58.6231506446368,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,LUX,Luxembourg,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,2007,,53.656784738346,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,LUX,Luxembourg,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,2006,,52.40569840335,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,LUX,Luxembourg,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,2005,,53.0620672058524,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,LUX,Luxembourg,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,2004,,52.19231582676,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,LUX,Luxembourg,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,2003,,52.1839304830471,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,LUX,Luxembourg,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,2002,,53.3294248183307,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,LUX,Luxembourg,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,2001,,52.8432811705591,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,LUX,Luxembourg,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,2000,,52.1592960725482,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,LUX,Luxembourg,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,1999,,61.5731271264801,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,LUX,Luxembourg,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,1998,,60.2206756590254,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,LUX,Luxembourg,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,1997,,59.9473250791392,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,LUX,Luxembourg,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,1996,,59.1269525181746,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,LUX,Luxembourg,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,1995,,58.5199321671592,,A,Normal value,,,1,One
