Country,Cluster
ARG,11
AUS,7
AUT,7
BDI,9
BEL,7
BEN,8
BFA,12
BGD,8
BGR,11
BIH,8
BOL,3
BRA,11
CAF,1
CAN,7
CHE,7
CHL,11
CHN,8
CIV,2
CMR,6
COD,1
COG,0
COL,11
CRI,11
DEU,7
DNK,7
DOM,0
DZA,11
ECU,11
EGY,0
ESP,7
ETH,12
FIN,7
FRA,7
GBR,7
GHA,3
GIN,8
GRC,7
GTM,0
HKG,7
HND,0
HRV,11
HTI,1
HUN,11
IDN,0
IND,8
IRL,7
IRN,10
IRQ,4
ISR,7
ITA,7
JOR,11
JPN,7
KEN,8
KHM,12
KOR,11
LAO,8
LBN,10
LBR,1
LKA,0
MAR,0
MDG,1
MEX,11
MLI,12
MMR,8
MNG,0
MOZ,12
MRT,6
MWI,9
MYS,11
NER,1
NGA,3
NIC,2
NLD,7
NOR,7
NPL,8
NZL,7
OMN,7
PAK,6
PAN,11
PER,0
PHL,0
POL,11
PRT,7
PRY,0
PSE,6
ROU,11
RUS,4
RWA,12
SAU,5
SDN,3
SEN,3
SGP,7
SLE,1
SLV,0
SRB,4
SWE,7
SYR,6
TCD,12
TGO,1
THA,0
TUN,0
TUR,11
TWN,11
TZA,8
UGA,12
URY,11
USA,7
VEN,4
VNM,8
YEM,6
ZAF,11
ZMB,2
ZWE,9
