Country,Cluster
ARG,0
AUS,3
AUT,3
BDI,4
BEL,3
BEN,3
BFA,3
BGD,0
BGR,3
BIH,3
BOL,0
BRA,3
CAF,5
CAN,3
CHE,3
CHL,3
CHN,3
CIV,5
CMR,4
COD,5
COG,3
COL,3
CRI,3
DEU,3
DNK,3
DOM,3
DZA,3
ECU,3
EGY,3
ESP,3
ETH,0
FIN,3
FRA,3
GBR,3
GHA,2
GIN,0
GRC,3
GTM,3
HKG,3
HND,3
HRV,3
HTI,5
HUN,3
IDN,3
IND,3
IRL,3
IRN,1
IRQ,0
ISR,3
ITA,3
JOR,0
JPN,3
KEN,0
KHM,2
KOR,3
LAO,3
LBN,2
LBR,5
LKA,3
MAR,3
MDG,5
MEX,3
MLI,3
MMR,0
MNG,3
MOZ,0
MRT,4
MWI,4
MYS,3
NER,5
NGA,0
NIC,1
NLD,3
NOR,3
NPL,3
NZL,3
OMN,3
PAK,3
PAN,3
PER,0
PHL,0
POL,3
PRT,3
PRY,3
PSE,3
ROU,3
RUS,4
RWA,0
SAU,4
SDN,0
SEN,2
SGP,3
SLE,1
SLV,0
SRB,4
SWE,3
SYR,3
TCD,2
TGO,5
THA,3
TUN,3
TUR,3
TWN,3
TZA,0
UGA,2
URY,3
USA,3
VEN,4
VNM,3
YEM,3
ZAF,0
ZMB,1
ZWE,1
